NAME,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-01,0.00,,55,61,49
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-02,0.00,,54,66,45
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-03,0.00,,53,60,44
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-04,0.00,,52,60,44
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-05,0.00,,54,65,45
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-06,0.00,,56,66,47
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-07,0.00,,53,57,51
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-08,0.00,,56,61,51
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-09,0.00,,57,75,46
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-10,0.00,,61,74,48
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-11,0.00,,65,79,54
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-12,0.00,,64,80,50
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-13,0.00,,62,69,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-14,0.00,,61,71,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-15,0.01,,61,70,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-16,0.00,,65,74,60
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-17,0.08,,62,65,58
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-18,0.00,,60,63,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-19,0.00,,58,62,52
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-20,0.00,,59,75,48
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-21,0.00,,58,69,49
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-22,0.00,,65,74,57
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-23,0.00,,64,73,50
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-24,0.00,,60,69,48
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-25,0.00,,56,65,50
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-26,0.00,,56,72,46
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-27,0.00,,57,70,47
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-28,0.00,,59,75,47
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-29,0.00,,62,71,51
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-30,0.00,,58,69,45
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-01-31,0.00,,55,64,47
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-01,0.00,,57,63,52
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-02,0.00,,56,65,45
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-03,0.00,,56,66,45
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-04,0.00,,56,69,47
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-05,0.00,,58,71,43
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-06,0.00,,58,72,45
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-07,0.00,,63,78,47
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-08,0.00,,64,79,52
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-09,0.00,,65,85,52
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-10,0.00,,71,82,55
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-11,0.00,,67,81,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-12,0.00,,68,89,52
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-13,0.00,,70,85,60
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-14,0.00,,63,73,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-15,0.01,,58,62,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-16,0.00,,56,65,46
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-17,0.00,,58,71,49
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-18,0.00,,60,72,49
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-19,0.00,,60,69,49
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-20,0.00,,57,63,49
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-21,0.00,,56,60,54
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-22,0.03,,56,61,47
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-23,0.00,,51,57,46
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-24,0.00,,51,61,39
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-25,0.00,,53,62,42
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-26,0.00,,56,67,45
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-27,0.00,,60,76,48
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-02-28,0.00,,63,82,49
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-01,0.00,,65,80,51
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-02,0.00,,64,78,52
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-03,0.00,,60,67,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-04,0.00,,59,65,52
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-05,0.00,,56,60,51
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-06,0.00,,54,62,44
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-07,0.00,,55,67,45
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-08,0.00,,58,70,46
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-09,0.00,,58,66,48
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-10,0.00,,58,64,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-11,0.00,,60,72,49
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-12,0.00,,62,74,50
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-13,0.00,,59,67,50
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-14,0.00,,60,69,54
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-15,0.00,,60,68,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-16,0.00,,61,72,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-17,0.00,,66,78,55
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-18,0.00,,63,72,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-19,0.01,,61,66,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-20,0.00,,60,72,55
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-21,0.00,,62,71,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-22,0.00,,64,78,55
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-23,0.00,,69,84,59
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-24,0.00,,64,70,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-25,0.00,,59,69,54
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-26,0.00,,59,64,55
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-27,0.00,,59,68,57
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-28,1.02,,58,62,55
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-29,0.07,,57,63,52
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-30,0.00,,59,65,54
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-03-31,0.00,,59,63,57
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-01,0.00,,59,65,54
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-02,0.00,,59,64,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-03,0.00,,60,65,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-04,0.00,,59,64,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-05,0.00,,62,74,54
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-06,0.00,,66,74,58
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-07,0.00,,74,95,61
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-08,0.00,,80,97,64
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-09,0.00,,71,78,62
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-10,0.00,,64,69,60
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-11,0.00,,63,68,55
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-12,0.00,,59,67,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-13,0.00,,60,67,55
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-14,0.00,,59,66,51
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-15,0.00,,59,67,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-16,0.00,,60,67,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-17,0.00,,59,65,55
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-18,0.00,,61,69,55
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-19,0.00,,62,68,57
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-20,0.00,,61,67,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-21,0.20,,59,66,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-22,0.03,,60,64,55
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-23,0.00,,59,69,52
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-24,0.00,,68,86,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-25,0.00,,70,86,58
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-26,0.00,,66,75,57
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-27,0.00,,62,72,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-28,0.00,,61,65,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-29,0.00,,60,68,53
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-04-30,0.00,,62,69,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-01,0.00,,62,69,57
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-02,0.00,,63,68,58
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-03,0.00,,62,69,59
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-04,0.00,,63,70,57
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-05,0.00,,62,68,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-06,0.00,,62,70,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-07,0.00,,65,71,59
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-08,0.00,,62,66,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-09,0.00,,60,67,54
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-10,0.00,,59,67,52
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-11,0.00,,58,65,51
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-12,0.00,,63,75,54
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-13,0.00,,67,80,57
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-14,0.00,,70,81,59
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-15,0.00,,67,78,59
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-16,0.00,,63,67,59
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-17,0.00,,62,68,58
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-18,0.00,,62,69,58
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-19,0.00,,62,66,60
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-20,0.00,,61,65,58
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-21,0.00,,63,70,59
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-22,0.00,,62,66,57
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-23,0.00,,60,67,56
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-24,0.00,,63,68,60
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-25,0.00,,64,70,61
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-26,0.00,,64,70,61
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-27,0.00,,64,70,61
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-28,0.00,,63,69,61
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-29,0.00,,64,71,58
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-30,0.00,,65,70,59
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-05-31,0.00,,65,71,58
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-01,0.00,,66,74,59
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-02,0.00,,66,73,61
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-03,0.00,,65,72,62
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-04,0.00,,65,69,61
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-05,0.00,,65,72,61
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-06,0.00,,68,74,64
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-07,0.00,,67,73,63
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-08,0.00,,66,69,63
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-09,0.00,,66,74,63
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-10,0.00,,67,74,63
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-11,0.00,,66,72,63
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-12,0.00,,66,72,63
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-13,0.01,,67,75,64
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-14,0.00,,68,76,63
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-15,0.00,,69,74,64
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-16,0.00,,68,74,64
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-17,0.00,,67,72,63
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-18,0.00,,66,73,60
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-19,0.00,,67,74,61
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-20,0.00,,70,80,61
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-21,0.00,,71,80,63
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-22,0.00,,66,73,62
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-23,0.00,,67,73,63
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-24,0.00,,67,72,61
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-25,0.00,,65,72,61
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-26,0.00,,66,72,62
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-27,0.00,,67,73,62
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-28,0.00,,68,74,63
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-29,0.00,,69,79,64
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-06-30,0.00,,69,76,64
"LAX AIRPORT, CA US",33.93816,-118.3866,2022-07-01,0.00,,68,75,64
